name,salary_from,salary_to,salary_currency,area_name,published_at
Системный администратор,50000.0,,RUR,Москва,2022-12-26T17:20:09+0300
Инженер технической поддержки,50000.0,50000.0,RUR,Надым,2022-12-26T12:58:39+0300
Специалист поддержки CRM системы,25000.0,40000.0,RUR,Новосибирск,2022-12-26T13:17:01+0300
Системный администратор,,,,Зеленоград,2022-12-26T16:16:19+0300
Системный администратор,50000.0,50000.0,RUR,Москва,2022-12-26T12:57:02+0300
DevOps инженер,160000.0,220000.0,RUR,Санкт-Петербург,2022-12-26T18:07:52+0300
Инженер технической поддержки пользователей,73000.0,87600.0,RUR,Москва,2022-12-26T16:14:14+0300
Senior Ux/Ui Designer,200000.0,300000.0,RUR,Санкт-Петербург,2022-12-26T13:11:04+0300
Специалист технической поддержки,40000.0,,RUR,Краснодар,2022-12-26T16:48:03+0300
Системный администратор,70000.0,,RUR,Дзержинский,2022-12-26T13:33:48+0300
Старший системный администратор (в иностранную компанию),,,,Москва,2022-12-26T13:19:37+0300
Системный администратор,,,,Москва,2022-12-26T16:53:00+0300
IT project manager / руководитель проекта в ИТ,,150000.0,RUR,Москва,2022-12-26T15:17:22+0300
Системный администратор,44000.0,,RUR,Самара,2022-12-26T13:54:56+0300
Системный администратор,1000.0,1500.0,USD,Ташкент,2022-12-26T15:49:21+0300
Специалист Helpdesk,40000.0,55000.0,RUR,Москва,2022-12-26T18:49:42+0300
"Преподаватель IT для детей (программирование, дизайн)",2000000.0,3000000.0,UZS,Самарканд,2022-12-26T15:11:58+0300
Руководитель продаж IT проекта,,,,Москва,2022-12-26T19:01:12+0300
Инженер технической поддержки,,,,Ростов-на-Дону,2022-12-26T12:51:19+0300
Системный администратор,36000.0,50000.0,RUR,Йошкар-Ола,2022-12-26T12:48:09+0300
IT Бизнес-партнёр,,,,Санкт-Петербург,2022-12-26T17:04:31+0300
Бизнес-аналитик в IT/Системный Бизнес-аналитик,,,,Москва,2022-12-26T15:49:03+0300
Инженер технической поддержки,45000.0,60000.0,RUR,Казань,2022-12-26T16:52:53+0300
ИТ-менеджер (IT Business Analyst),,,,Караганда,2022-12-26T14:42:42+0300
Системный администратор KTV и IPTV,75000.0,,RUR,Санкт-Петербург,2022-12-26T18:21:19+0300
Системный администратор,,,,Москва,2022-12-26T19:01:50+0300
ИТ-менеджер (IT Business Analyst),,,,Астана,2022-12-26T14:42:42+0300
UI/UX дизайнер,500.0,,EUR,Санкт-Петербург,2022-12-26T18:42:51+0300
PHP-разработчик,,150000.0,RUR,Пермь,2022-12-26T14:11:19+0300
Системный администратор,50000.0,60000.0,RUR,Москва,2022-12-26T14:51:19+0300
Инженер технической поддержки,,,,Калининград,2022-12-26T15:33:42+0300
Инженер технической поддержки,,,,Санкт-Петербург,2022-12-26T15:33:42+0300
Специалист технической поддержки,80000.0,,RUR,Москва,2022-12-26T17:45:11+0300
Специалист технической поддержки в IT - компанию,,40000.0,RUR,Ростов-на-Дону,2022-12-26T13:08:14+0300
Менеджер IT-проектов,50000.0,100000.0,RUR,Самара,2022-12-26T14:39:14+0300
"Проектный Менеджер (IT проекты, Remote)",1000.0,2000.0,USD,США,2022-12-26T15:12:09+0300
Инженер по эксплуатации IT,55000.0,70000.0,RUR,Владивосток,2022-12-26T18:25:28+0300
ИТ-менеджер (IT Business Analyst),,,,Алматы,2022-12-26T14:42:43+0300
Руководитель ИТ-отдела,,,,Сургут,2022-12-26T15:24:47+0300
Системный администратор,35000.0,35000.0,RUR,Казань,2022-12-26T19:12:18+0300
Бизнес-аналитик,,,,Омск,2022-12-26T13:35:56+0300
Специалист по информационным технологиям,34500.0,34500.0,RUR,Ярославль,2022-12-26T17:34:45+0300
Специалист технической поддержки HelpDesk,35000.0,40000.0,RUR,Великий Новгород,2022-12-26T15:18:58+0300
"Системный администратор (г. Ялта, Республика Крым)",,,,Краснодар,2022-12-26T15:12:49+0300
Специалист технической поддержки в Маркет (Есипово),,,,Солнечногорск,2022-12-26T16:31:36+0300
Главный специалист управления развития ИТ-архитектуры департамента информационных технологий,2000.0,3000.0,BYR,Минск,2022-12-26T16:34:14+0300
Аналитик / Специалист по внедрению CRM-решений,20000.0,60000.0,RUR,Пенза,2022-12-26T14:57:22+0300
Системный администратор,80000.0,110000.0,RUR,Санкт-Петербург,2022-12-26T19:36:08+0300
Стажер-аналитик,,45000.0,RUR,Екатеринбург,2022-12-26T18:51:18+0300
Руководитель IT проектов,,,,Петрозаводск,2022-12-26T15:49:44+0300
Специалист по информационной безопасности,,,,Сургут,2022-12-26T15:25:44+0300
Системный инженер,,,,Москва,2022-12-26T14:27:10+0300
Ведущий системный администратор,,,,Санкт-Петербург,2022-12-26T17:06:12+0300
Специалист технической поддержки в Маркет (Грибки),,,,Мытищи,2022-12-26T16:31:35+0300
Специалист технической поддержки в Маркет (Грибки),,,,Лобня,2022-12-26T16:31:35+0300
Начинающий IT специалист по обслуживанию POS-терминального оборудования,60000.0,,RUR,Нефтеюганск,2022-12-26T13:58:11+0300
Программист 1C (работа в аккредитованной IT-компании) Удаленно.,170000.0,,RUR,Чебоксары,2022-12-26T16:23:13+0300
Инженер поддержки продаж,,,,Санкт-Петербург,2022-12-26T15:11:09+0300
Специалист технической поддержки,,,,Москва,2022-12-26T17:59:26+0300
Специалист технической поддержки в Маркет (Грибки),,,,Долгопрудный,2022-12-26T16:31:34+0300
Специалист технической поддержки в Маркет (Есипово),,,,Химки,2022-12-26T16:31:35+0300
